Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Total_Hours_Worked,Average_Hours_Per_Day,Max_Hours_Per_Day,Min_Hours_Per_Day
45,0,2,Research & Development,3,1,Medical,54,0,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1,1,3,1909h 54min,7h 19min,8h 11min,6h 36min
31,0,1,Sales,16,4,Marketing,55,0,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3,4,1,2248h 52min,8h 36min,9h 28min,7h 46min
33,0,2,Research & Development,9,3,Life Sciences,56,1,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4,2,3,1769h 59min,6h 46min,7h 45min,6h 1min
39,0,1,Sales,1,4,Life Sciences,57,1,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3,1,3,2866h 26min,10h 58min,11h 48min,10h 9min
43,0,2,Research & Development,7,4,Medical,58,1,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3,4,3,2006h 41min,7h 41min,8h 30min,6h 57min
49,0,1,Research & Development,1,3,Life Sciences,59,1,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3,3,3,2594h 50min,9h 56min,10h 52min,9h 3min
52,1,1,Research & Development,7,1,Life Sciences,60,0,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3,2,2,2063h 28min,7h 54min,8h 56min,7h 11min
27,0,1,Research & Development,15,4,Medical,61,1,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3,2,2,2784h 22min,10h 40min,11h 31min,9h 58min
32,0,1,Research & Development,1,3,Life Sciences,62,1,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3,2,3,2740h 16min,10h 29min,11h 20min,9h 37min
27,0,1,Research & Development,13,2,Medical,63,0,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4,3,3,2629h 43min,10h 4min,10h 52min,9h 9min
31,0,1,Sales,24,3,Life Sciences,64,1,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4,4,3,1725h 25min,6h 36min,7h 28min,5h 44min
32,0,1,Research & Development,7,3,Technical Degree,65,1,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1,4,2,1955h 38min,7h 29min,8h 15min,6h 31min
28,1,1,Research & Development,9,4,Medical,66,1,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1,4,2,2799h 13min,10h 43min,11h 22min,9h 52min
30,0,1,Research & Development,13,3,Life Sciences,67,0,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4,4,3,1612h 21min,6h 10min,6h 55min,5h 29min
31,0,2,Research & Development,2,1,Life Sciences,68,0,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,3,3,3,1723h 32min,6h 36min,7h 17min,5h 46min
39,0,2,Research & Development,19,4,Medical,69,0,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,3,4,3,1585h 41min,6h 4min,6h 50min,5h 20min
39,1,1,Research & Development,1,1,Medical,70,0,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,4,3,2,2603h 43min,9h 58min,10h 43min,9h 11min
33,0,2,Sales,4,2,Life Sciences,71,1,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,2,4,2,1936h 36min,7h 25min,8h 3min,6h 42min
47,0,1,Research & Development,4,3,Life Sciences,72,0,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,4,3,3,1695h 51min,6h 29min,7h 12min,5h 25min
43,0,2,Research & Development,14,3,Medical,73,0,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3,3,4,1643h 32min,6h 17min,7h 9min,5h 32min
27,0,0,Research & Development,2,3,Life Sciences,74,1,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3,2,3,2430h 56min,9h 18min,10h 7min,8h 22min
54,0,2,Research & Development,1,4,Life Sciences,75,1,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4,3,2,1593h 48min,6h 6min,6h 53min,5h 24min
43,0,1,Research & Development,7,2,Life Sciences,76,0,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3,1,2,1883h 14min,7h 12min,7h 51min,6h 29min
45,0,1,Sales,3,1,Marketing,77,0,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4,4,3,1854h 33min,7h 6min,7h 53min,6h 16min
40,0,1,Research & Development,2,4,Other,78,1,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2,4,2,2586h 43min,9h 54min,10h 41min,9h 3min
29,1,1,Research & Development,29,3,Medical,79,0,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2,1,2,2732h 45min,10h 28min,11h 22min,9h 45min
29,0,1,Human Resources,8,3,Medical,80,1,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2,4,3,1801h 15min,6h 54min,7h 39min,6h 6min
30,0,1,Research & Development,10,3,Life Sciences,81,1,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4,3,3,1982h 50min,7h 35min,8h 28min,6h 38min
27,0,1,Research & Development,11,2,Medical,82,1,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2,2,3,1586h 57min,6h 4min,6h 45min,5h 11min
37,0,1,Sales,1,4,Life Sciences,83,1,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4,4,2,1565h 31min,5h 59min,6h 48min,5h 13min
38,0,1,Research & Development,28,4,Medical,84,1,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3,4,3,2343h 52min,8h 58min,9h 50min,8h 13min
31,0,1,Research & Development,6,3,Medical,85,0,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3,4,3,2720h 48min,10h 25min,11h 22min,9h 31min
29,0,1,Research & Development,3,4,Life Sciences,86,1,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4,2,3,2189h 1min,8h 23min,9h 7min,7h 26min
35,0,1,Sales,16,2,Technical Degree,87,1,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3,2,3,2064h 50min,7h 54min,8h 39min,7h 14min
23,0,1,Research & Development,20,4,Life Sciences,88,1,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3,4,2,1853h 20min,7h 6min,8h 3min,6h 13min
41,0,1,Research & Development,9,2,Life Sciences,89,0,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4,2,3,2530h 41min,9h 41min,10h 37min,8h 52min
47,0,2,Sales,1,3,Medical,90,0,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2,3,3,2029h 43min,7h 46min,8h 35min,6h 34min
42,0,1,Research & Development,3,4,Life Sciences,91,1,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1,4,3,1640h 29min,6h 17min,7h 6min,5h 30min
29,0,0,Sales,22,4,Marketing,92,1,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,4,3,2,1644h 10min,6h 17min,7h 16min,5h 18min
42,0,1,Sales,7,4,Medical,93,1,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,3,3,3,2305h 3min,8h 49min,9h 41min,7h 55min
32,0,1,Research & Development,2,3,Medical,94,1,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,3,2,3,2016h 25min,7h 43min,8h 39min,7h 2min
48,0,1,Sales,13,4,Medical,95,1,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,1,3,1,1907h 24min,7h 18min,8h 1min,6h 36min
37,0,1,Research & Development,8,5,Technical Degree,96,1,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3,1,3,2818h 13min,10h 47min,11h 37min,9h 50min
30,0,0,Sales,25,4,Other,97,1,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,4,3,4,2715h 20min,10h 24min,11h 11min,9h 35min
26,0,1,Sales,28,3,Medical,98,0,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,3,3,3,1564h 26min,5h 59min,6h 54min,5h 12min
42,0,1,Sales,2,2,Medical,99,0,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,1,4,3,1594h 18min,6h 6min,7h 3min,5h 17min
21,1,2,Research & Development,9,3,Medical,100,0,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,1,2,3,2123h 15min,8h 8min,9h 5min,7h 9min
36,0,0,Human Resources,28,3,Human Resources,101,1,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,4,4,3,1905h 24min,7h 18min,8h 15min,6h 29min
36,0,2,Research & Development,6,3,Life Sciences,102,0,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,1,4,3,1854h 13min,7h 6min,7h 51min,6h 18min
57,0,1,Research & Development,21,4,Life Sciences,103,1,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,4,3,3,1649h 40min,6h 19min,6h 59min,5h 29min
40,0,1,Research & Development,8,3,Other,104,1,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,4,3,3,2119h 58min,8h 7min,9h 1min,7h 6min
21,0,0,Research & Development,1,5,Life Sciences,105,0,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,1,4,2,2084h 50min,7h 59min,8h 39min,7h 11min
33,1,1,Human Resources,28,2,Human Resources,106,0,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,4,3,3,2743h 45min,10h 30min,11h 24min,9h 43min
37,0,1,Research & Development,5,3,Life Sciences,107,1,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,3,1,3,2084h 11min,7h 59min,8h 48min,7h 3min
46,0,0,Sales,2,4,Marketing,108,0,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,3,3,4,1594h 40min,6h 6min,6h 47min,5h 19min
41,1,2,Research & Development,16,1,Medical,109,0,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,1,2,3,1978h 57min,7h 34min,8h 20min,6h 51min
50,0,1,Research & Development,9,3,Medical,110,0,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,4,4,3,1800h 2min,6h 53min,7h 48min,6h 3min
40,1,1,Research & Development,8,3,Medical,111,0,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,3,3,3,2426h 18min,9h 17min,10h 9min,8h 35min
31,0,1,Research & Development,1,3,Life Sciences,112,1,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,3,2,3,2819h 35min,10h 48min,11h 39min,10h 3min
21,1,1,Human Resources,10,2,Human Resources,113,1,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,3,2,3,1567h 24min,6h 0min,6h 56min,5h 13min
29,0,1,Research & Development,1,3,Life Sciences,114,0,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,4,4,3,2033h 11min,7h 47min,8h 37min,6h 51min
35,0,1,Research & Development,29,3,Life Sciences,115,0,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,3,2,3,2015h 55min,7h 43min,8h 24min,7h 0min
27,0,1,Sales,2,3,Life Sciences,116,1,1,Sales Executive,Divorced,23670,,12,1,5.0,2,5,0,4,3,3,4,2,3,1612h 49min,6h 10min,7h 9min,5h 21min
28,0,1,Research & Development,2,2,Medical,117,1,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,2,4,3,1858h 49min,7h 7min,8h 5min,6h 8min
49,0,1,Sales,2,3,Technical Degree,118,1,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,2,3,3,2042h 33min,7h 49min,8h 28min,7h 5min
51,0,1,Research & Development,1,2,Life Sciences,119,1,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,3,4,2,1987h 53min,7h 36min,8h 18min,6h 36min
36,0,1,Sales,15,2,Life Sciences,120,1,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,4,3,3,1565h 9min,5h 59min,6h 40min,5h 9min
34,1,0,Research & Development,7,3,Life Sciences,121,1,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,1,4,2,2378h 56min,9h 6min,9h 56min,8h 15min
55,0,1,Sales,26,3,Marketing,122,1,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,3,4,3,2264h 16min,8h 40min,9h 37min,7h 39min
24,0,1,Research & Development,1,3,Life Sciences,123,0,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,4,3,4,2609h 15min,9h 59min,10h 43min,9h 16min
30,0,1,Research & Development,3,3,Life Sciences,124,0,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,3,2,3,1801h 6min,6h 54min,7h 59min,6h 0min
26,1,2,Sales,14,3,Life Sciences,125,1,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,3,3,3,1826h 42min,6h 59min,7h 50min,6h 17min
22,0,1,Research & Development,16,5,Other,126,1,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,1,2,3,1638h 46min,6h 16min,7h 0min,5h 25min
36,0,1,Research & Development,1,3,Medical,127,0,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,2,3,3,1663h 49min,6h 22min,7h 4min,5h 29min
30,1,2,Sales,3,2,Marketing,128,1,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,3,4,3,2137h 24min,8h 11min,9h 13min,7h 20min
37,0,1,Research & Development,10,1,Technical Degree,129,1,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,4,1,2,1685h 6min,6h 27min,7h 40min,5h 41min
40,0,1,Research & Development,6,2,Medical,130,1,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,4,2,3,1740h 34min,6h 40min,7h 23min,5h 41min
42,0,1,Research & Development,2,3,Medical,131,0,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,2,1,3,1952h 35min,7h 28min,8h 16min,6h 26min
37,0,1,Sales,9,1,Marketing,132,1,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,3,2,2,2589h 52min,9h 55min,10h 39min,9h 11min
43,0,1,Sales,10,2,Life Sciences,133,0,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,1,2,3,1935h 40min,7h 24min,8h 1min,6h 42min
40,0,1,Sales,6,2,Life Sciences,134,0,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,2,3,3,1954h 50min,7h 29min,8h 13min,6h 38min
54,0,1,Human Resources,9,3,Life Sciences,135,0,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,1,1,2,1564h 1min,5h 59min,6h 46min,5h 21min
34,0,0,Research & Development,28,3,Medical,136,1,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,3,3,3,1788h 42min,6h 51min,7h 38min,5h 54min
31,0,1,Research & Development,10,4,Life Sciences,137,1,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,2,1,1,1599h 59min,6h 7min,6h 50min,5h 20min
43,0,2,Sales,14,3,Life Sciences,138,0,1,Manufacturing Director,Married,37480,7.0,14,2,,3,3,1,2,2,3,4,4,3,2002h 43min,7h 40min,9h 11min,6h 42min
43,0,1,Sales,27,4,Life Sciences,139,1,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3,3,3,3,3,2318h 26min,8h 52min,9h 45min,8h 9min
25,0,1,Human Resources,7,2,Human Resources,140,1,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,4,3,2,4,3,2843h 28min,10h 53min,11h 43min,10h 5min
37,0,0,Research & Development,1,3,Medical,141,1,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2,4,2,3,3,2791h 18min,10h 41min,11h 33min,9h 54min
